Time,Channel A,Channel B
(us),(mV),(mV)

-3.72788770,1.08035517,-2.96029520
-3.72388770,1.86162913,0.48829612
-3.71988770,1.27567363,-2.71614718
-3.71588770,2.35602903,-1.73955488
-3.71188770,1.96539199,-4.44044304
-3.70788770,2.25836945,0.24414806
-3.70388770,1.66631055,-1.98370302
-3.69988770,1.66631055,-1.98370302
-3.69588770,2.35602903,-1.73955488
-3.69188770,1.96539199,-2.22785115
-3.68788770,2.25836945,-2.47199917
-3.68388770,1.96539199,0.00000000
-3.67988770,1.17801452,-0.99185151
-3.67588770,1.66631055,-0.74770343
-3.67188770,1.76396978,-0.99185151
-3.66788770,2.06305122,-3.95214677
-3.66388770,2.35602903,-1.98370302
-3.65988770,1.66631055,0.24414806
-3.65588770,2.16071033,-3.70799875
-3.65188770,2.45368814,-3.21970248
-3.64788770,2.85042882,0.00000000
-3.64388770,1.96539199,-1.23599958
-3.63988770,2.45368814,-0.99185151
-3.63588770,2.16071033,-1.98370302
-3.63188771,1.96539199,1.46488833
-3.62788771,2.25836945,-1.23599958
-3.62388771,1.86162913,0.24414806
-3.61988771,2.25836945,-0.50355536
-3.61588771,2.25836945,-1.73955488
-3.61188771,2.16071033,0.00000000
-3.60788771,2.25836945,-3.21970248
-3.60388771,2.06305122,0.00000000
-3.59988771,1.47099209,1.46488833
-3.59588771,1.76396978,-1.48014760
-3.59188771,2.16071033,-1.98370302
-3.58788771,2.35602903,-0.50355536
-3.58388771,1.96539199,-1.48014760
-3.57988771,2.06305122,-3.21970248
-3.57588771,1.66631055,-1.98370302
-3.57188771,2.35602903,-1.23599958
-3.56788771,2.35602903,-1.73955488
-3.56388771,1.96539199,-0.25940731
-3.55988771,2.25836945,-1.23599958
-3.55588771,2.35602903,-1.98370302
-3.55188771,2.35602903,-2.96029520
-3.54788771,2.16071033,-1.73955488
-3.54388771,2.35602903,-1.23599958
-3.53988771,1.96539199,-1.23599958
-3.53588771,1.56865132,-1.98370302
-3.53188771,2.16071033,-0.99185151
-3.52788771,1.96539199,-0.50355536
-3.52388771,1.86162913,-1.48014760
-3.51988771,2.35602903,-3.21970248
-3.51588771,2.16071033,-1.73955488
-3.51188771,1.96539199,-2.71614718
-3.50788771,1.96539199,-1.73955488
-3.50388771,2.06305122,-1.73955488
-3.49988771,1.96539199,-0.50355536
-3.49588771,1.96539199,-1.98370302
-3.49188771,2.45368814,-0.50355536
-3.48788771,2.25836945,-1.98370302
-3.48388771,2.45368814,-3.21970248
-3.47988771,2.16071033,-0.25940731
-3.47588771,2.45368814,-3.21970248
-3.47188771,2.16071033,-3.46385050
-3.46788771,2.74666595,-2.96029520
-3.46388771,2.06305122,-2.71614718
-3.45988771,1.96539199,-1.48014760
-3.45588771,1.47099209,-1.23599958
-3.45188771,1.76396978,-1.98370302
-3.44788771,1.86162913,-1.73955488
-3.44388771,2.35602903,-0.74770343
-3.43988771,2.06305122,-2.47199917
-3.43588771,2.16071033,-2.96029520
-3.43188771,1.96539199,-2.96029520
-3.42788771,2.16071033,-0.99185151
-3.42388771,1.86162913,-2.71614718
-3.41988771,2.16071033,0.73244417
-3.41588771,1.86162913,-3.21970248
-3.41188771,2.06305122,-0.99185151
-3.40788771,1.76396978,-1.98370302
-3.40388771,1.76396978,0.97659224
-3.39988771,2.06305122,-1.23599958
-3.39588771,1.76396978,-3.46385050
-3.39188771,1.96539199,-2.22785115
-3.38788771,1.96539199,-1.23599958
-3.38388771,1.86162913,-2.71614718
-3.37988771,1.76396978,-1.23599958
-3.37588771,1.96539199,-2.71614718
-3.37188771,2.45368814,-0.74770343
-3.36788771,1.76396978,-3.21970248
-3.36388771,1.56865132,-2.71614718
-3.35988771,2.25836945,-3.46385050
-3.35588771,1.96539199,0.00000000
-3.35188771,1.96539199,-2.96029520
-3.34788771,1.86162913,-0.50355536
-3.34388771,1.96539199,-2.22785115
-3.33988771,2.16071033,-2.22785115
-3.33588771,2.35602903,-2.47199917
-3.33188771,2.55134726,-0.99185151
-3.32788771,1.37333298,-2.71614718
-3.32388771,2.35602903,-2.22785115
-3.31988771,2.25836945,0.24414806
-3.31588771,1.47099209,-2.96029520
-3.31188771,1.76396978,0.00000000
-3.30788771,2.74666595,-2.47199917
-3.30388771,1.86162913,-2.47199917
-3.29988771,2.06305122,-3.95214677
-3.29588771,2.16071033,-0.25940731
-3.29188771,2.25836945,0.24414806
-3.28788771,2.35602903,-0.99185151
-3.28388771,1.37333298,-1.73955488
-3.27988772,2.35602903,-3.70799875
-3.27588772,1.96539199,-3.70799875
-3.27188772,2.16071033,-0.74770343
-3.26788772,2.25836945,-2.47199917
-3.26388772,1.56865132,3.69273949
-3.25988772,1.56865132,-0.74770343
-3.25588772,1.47099209,-0.50355536
-3.25188772,1.96539199,-0.74770343
-3.24788772,1.66631055,-4.44044304
-3.24388772,2.16071033,-1.98370302
-3.23988772,2.06305122,-2.47199917
-3.23588772,2.06305122,0.24414806
-3.23188772,2.64900661,-1.23599958
-3.22788772,2.45368814,0.00000000
-3.22388772,1.86162913,-0.99185151
